GOALS,TH,TA,TD,RFH,RFD,RFA,RAH,RAD,RAA,TM,PFT,PAT,PFH,PFA,PAH,PAA,PPFT,PPAT,PPFH,PPFA,PPAH,PPAA
0,453,1091,312.0,0.0,312.0,0.0,1091.0,312.0,453.0,1856.0,312.0,4944.0,312.0,312.0,3585.0,1671.0,0.16810344827586207,2.663793103448276,0.40784313725490196,0.22238061297220243,2.5552387740555953,2.184313725490196
1,814,892,457.0,485.0,457.0,244.0,648.0,457.0,329.0,2163.0,2644.0,3388.0,1912.0,1189.0,2401.0,1444.0,1.2223763291724457,1.5663430420711975,1.5043273013375296,0.8813936249073387,1.7798369162342476,1.1361132966168372
2,777,511,202.0,691.0,202.0,359.0,152.0,202.0,86.0,1490.0,3352.0,916.0,2275.0,1279.0,658.0,460.0,2.2496644295302013,0.614765100671141,2.323799795709908,1.79382889200561,0.9228611500701263,0.4698672114402451
3,472,223,30.0,458.0,30.0,203.0,20.0,30.0,14.0,725.0,2013.0,132.0,1404.0,639.0,90.0,72.0,2.776551724137931,0.1820689655172414,2.7968127490039842,2.525691699604743,0.3557312252964427,0.14342629482071714
4,203,69,2.0,202.0,2.0,67.0,2.0,2.0,1.0,274.0,809.0,11.0,608.0,203.0,8.0,5.0,2.9525547445255476,0.040145985401459854,2.9658536585365853,2.859154929577465,0.11267605633802817,0.024390243902439025
5,64,8,1.0,64.0,1.0,8.0,0.0,1.0,0.0,73.0,217.0,1.0,193.0,25.0,1.0,1.0,2.9726027397260273,0.0136986301369863,2.9692307692307693,2.7777777777777777,0.1111111111111111,0.015384615384615385
6,13,1,0.0,13.0,0.0,1.0,0.0,0.0,0.0,14.0,42.0,0.0,39.0,3.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0
